スキャン番号: 184, ロボットのxは-1.816739, yは0.232285, thetaは162.943944
スキャン番号: 185, ロボットのxは-1.816741, yは0.232281, thetaは162.951548
スキャン番号: 186, ロボットのxは-1.816741, yは0.232280, thetaは162.950284
スキャン番号: 187, ロボットのxは-1.816740, yは0.232284, thetaは162.908924
スキャン番号: 188, ロボットのxは-1.816742, yは0.232277, thetaは162.946828
スキャン番号: 189, ロボットのxは-1.816742, yは0.232274, thetaは162.950874
スキャン番号: 190, ロボットのxは-1.816743, yは0.232273, thetaは162.953257
スキャン番号: 191, ロボットのxは-1.816743, yは0.232271, thetaは162.959878
スキャン番号: 192, ロボットのxは-1.816743, yは0.232272, thetaは162.952328
スキャン番号: 193, ロボットのxは-1.816742, yは0.232276, thetaは162.933132
スキャン番号: 194, ロボットのxは-1.816742, yは0.232274, thetaは162.940680
スキャン番号: 195, ロボットのxは-1.816743, yは0.232271, thetaは162.942956
スキャン番号: 196, ロボットのxは-1.816743, yは0.232271, thetaは162.933621
スキャン番号: 197, ロボットのxは-1.816743, yは0.232272, thetaは162.926335
スキャン番号: 198, ロボットのxは-1.816743, yは0.232271, thetaは162.930010
スキャン番号: 199, ロボットのxは-1.816743, yは0.232272, thetaは162.923664
スキャン番号: 200, ロボットのxは-1.816744, yは0.232265, thetaは162.952356
スキャン番号: 201, ロボットのxは-1.816744, yは0.232266, thetaは162.928500
スキャン番号: 202, ロボットのxは-1.816745, yは0.232263, thetaは162.942074
スキャン番号: 203, ロボットのxは-1.816745, yは0.232264, thetaは162.936423
スキャン番号: 204, ロボットのxは-1.816745, yは0.232265, thetaは162.933018
スキャン番号: 205, ロボットのxは-1.816746, yは0.232261, thetaは162.956132
スキャン番号: 206, ロボットのxは-1.816745, yは0.232263, thetaは162.940914
スキャン番号: 207, ロボットのxは-1.816746, yは0.232261, thetaは162.949078
スキャン番号: 208, ロボットのxは-1.816746, yは0.232259, thetaは162.958218
スキャン番号: 209, ロボットのxは-1.816746, yは0.232260, thetaは162.939930
スキャン番号: 210, ロボットのxは-1.816746, yは0.232260, thetaは162.940468
スキャン番号: 211, ロボットのxは-1.816746, yは0.232260, thetaは162.938678
スキャン番号: 212, ロボットのxは-1.816746, yは0.232259, thetaは162.943375
スキャン番号: 213, ロボットのxは-1.816747, yは0.232257, thetaは162.950616
スキャン番号: 214, ロボットのxは-1.816746, yは0.232258, thetaは162.944227
スキャン番号: 215, ロボットのxは-1.816747, yは0.232256, thetaは162.948370
スキャン番号: 216, ロボットのxは-1.816747, yは0.232256, thetaは162.948204
スキャン番号: 217, ロボットのxは-1.816747, yは0.232255, thetaは162.949510
スキャン番号: 218, ロボットのxは-1.816748, yは0.232254, thetaは162.941041
スキャン番号: 219, ロボットのxは-1.816747, yは0.232254, thetaは162.938639
スキャン番号: 220, ロボットのxは-1.816747, yは0.232257, thetaは162.921867
スキャン番号: 221, ロボットのxは-1.816747, yは0.232254, thetaは162.941847
スキャン番号: 222, ロボットのxは-1.816747, yは0.232254, thetaは162.939170
スキャン番号: 223, ロボットのxは-1.816747, yは0.232256, thetaは162.931904
スキャン番号: 224, ロボットのxは-1.819632, yは0.233105, thetaは163.723153
スキャン番号: 225, ロボットのxは-1.829977, yは0.235841, thetaは167.441141
スキャン番号: 226, ロボットのxは-1.852942, yは0.238128, thetaは179.638869
スキャン番号: 227, ロボットのxは-1.892686, yは0.229646, thetaは-175.862563
スキャン番号: 228, ロボットのxは-1.909092, yは0.226549, thetaは-168.029494
スキャン番号: 229, ロボットのxは-1.914688, yは0.225057, thetaは-163.063714
スキャン番号: 230, ロボットのxは-1.912446, yは0.225813, thetaは-157.424292
スキャン番号: 231, ロボットのxは-1.906480, yは0.228158, thetaは-153.481102
スキャン番号: 232, ロボットのxは-1.905026, yは0.228891, thetaは-145.406610
スキャン番号: 233, ロボットのxは-1.905631, yは0.228351, thetaは-139.993627
スキャン番号: 234, ロボットのxは-1.907408, yは0.226500, thetaは-134.301931
スキャン番号: 235, ロボットのxは-1.907961, yは0.225826, thetaは-122.452682
スキャン番号: 236, ロボットのxは-1.908115, yは0.225459, thetaは-117.079858
スキャン番号: 237, ロボットのxは-1.907924, yは0.225771, thetaは-111.993899
スキャン番号: 238, ロボットのxは-1.907497, yは0.227386, thetaは-103.044171
スキャン番号: 239, ロボットのxは-1.907438, yは0.227319, thetaは-96.629071
スキャン番号: 240, ロボットのxは-1.907262, yは0.229405, thetaは-93.578367
スキャン番号: 241, ロボットのxは-1.907188, yは0.231361, thetaは-88.634182
スキャン番号: 242, ロボットのxは-1.907236, yは0.232615, thetaは-82.626666
スキャン番号: 243, ロボットのxは-1.907207, yは0.232567, thetaは-78.500793
